quakecon clan counts as of 08/02/2015 15:16
[a2m] --- 42
     B32-22 Claidissa
     B43-17 TTimo
     B43-18 RottenRose
     B43-19 Sanctify
     B43-20 Dead Beat
     B43-21 Endra
     B43-22 Ahab The Arab
     B44-17 Cobalt
     B44-18 Mogo
     B44-19 CrioKnight
     B44-20 TheDee
     B44-21 DJ Psyko-M1
     B44-22 TheUberMensch
     B45-13 Det
     B45-14 FADE
     B45-15 Wither
     B45-16 PreciousDeath
     B45-17 BouvToTheMax
     B45-18 Goober
     B45-19 Characterlimit
     B45-20 DarkenedSoul
     B45-21 Lohkie
     B45-22 Minideezel
     B46-13 CodeMA
     B46-14 Ancients
     B46-15 SabreTech
     B46-16 PhiladelphiaCollins
     B46-17 X-Snoop-X
     B46-18 dorkiz
     B46-19 Neony
     B46-20 Audji
     B46-21 SkaFreak
     B46-22 Zinfidel
     C44-01 Slayerhellboy
     C44-02 JoyChaos
     C45-03 l4mby
     C45-04 Beaneater
     C46-01 ChowMein`
     C46-02 Fellstrike
     C46-08 Seymour Bodies
     C47-07 nuklear
     C47-08 volto
NEUBAOWNSTHEQUAKECONPAGE --- 22
     B61-15 Fabled Death
     B62-07 Shibbie
     B62-08 seastonez
     B62-10 Cannabisexual
     B62-12 Coleslaw
     B62-13 Salty Discostick
     B62-14 The Messiah
     B62-15 GuiltyCrown
     B62-16 Dreadknight007
     B63-06 Eyekandy
     B63-07 badwolf920
     B63-08 Armbarr
     B63-09 Bcrogue
     B63-10 A 5th of Scotch
     B63-13 lolitsjohn
     B63-14 Trainrider27
     B63-15 Dogberto
     B63-16 Neuba
     B63-17 Etspeed
     B63-18 Gahost
     B63-19 EasyMuffin
     B63-22 VOSS
TAW --- 22
     B11-04 Calidrin
     B11-05 Reserved
     B11-07 Reserved
     B11-08 Reserved
     B11-09 NavyChief
     B12-02 Cullen
     B12-05 Reserved
     B12-06 ShmeeCow
     B12-07 Reserved
     B12-08 Reserved
     B12-09 Wizard
     B12-10 FlyDog
     B12-11 BulletStopper
     B12-12 WackyK
     B13-04 sweet.
     B13-05 Nemesis
     B13-06 Todbot
     B13-07 SpaceJunky
     B13-09 G4RB4G3
     B13-10 SnatchBagger
     B14-08 Forkyeah
     B17-08 geppy
KillerRabbits --- 19
     A24-04 Reserved
     A24-05 TwoThree
     A25-03 ShannonAl
     A25-04 Weasel
     A25-05 Landbearshark
     A25-06 Reserved
