quakecon clan counts as of 08/02/2015 15:14
[a2m] --- 40
     B37-19 Sheik
     B43-20 Fellstrike
     B44-16 CodeMA
     B44-17 General Specific
     B44-18 Dead Beat
     B44-19 TTimo
     B44-20 TheUberMensch
     B44-21 Cobalt
     B44-22 Heem
     B45-14 FADE
     B45-15 PhiladelphiaCollins
     B45-16 PreciousDeath
     B45-17 vix
     B45-18 Goober
     B45-19 fragtastic
     B45-20 Zinfidel
     B45-21 SkaFreak
     B45-22 Buckthebeast
     B46-15 Gutter
     B46-16 Ancients
     B46-17 Ahab The Arab
     B46-19 Mr_Kola
     B46-20 Skipperdo
     C44-01 All6's&7's
     C44-03 Althrin
     C44-04 Mogo
     C45-03 Ignorance
     C45-04 Neony
     C45-05 Lamby
     C45-06 Chow Mein
     C45-12 TheDude
     C46-02 The Dee
     C46-03 CrioKnight
     UAC-01 BouvToTheMax
     UAC-02 DarkenedSoul
     UAC-03 Det
     UAC-04 T-Dawg
     UAC-13 Canada
     UAC-14 Estrogen
     UAC-15 Lohkie
#2k4ctf --- 27
     B50-01 GS3K
     B50-02 Xios
     B50-03 linoleum
     B50-04 Blimpo
     B50-05 glurg
     B50-06 Esporanza
     B50-07 Ne0
     B50-08 nvz
     B50-09 nyte
     B50-10 KillEmAll
     B50-11 Crunchitizmeh
     B50-12 TGUN
     B50-13 CaptainMigraine
     B51-01 ChoWY
     B51-02 conX5
     B51-03 PoisonBagels
     B51-04 ArC
     B51-05 fr0Zen
     B51-06 DSK
     B51-07 bdy
     B51-08 Palazil
     B51-09 Defeat
     B51-10 chubby
     B51-12 Aria
     B51-13 Joequel
     B51-14 kokuei
     B72-05 turnz
Crimson Syndicate --- 22
     B29-18 MrTheGooch
     B29-19 thesuperfishy
     B30-17 Anpther
     B30-18 Verinor
     B30-19 Camp Kenae
     B30-20 SirGlitchAlot
     B31-12 Noxious Ninja
     B31-16 Slyph
     B31-18 StalinKnowsBest
     B31-19 peanut146
     B31-20 DarkMalice
     B31-21 ChoZo
     B31-22 ActionJosh
     B32-13 Amadeyus
     B32-14 Tenryu
     B32-15 Akihoshi
     B32-18 Hiphopmk
     B32-19 GerbilTwenty
     B32-20 Ballsy Renegade
     B32-21 Claidissa
     B32-22 Prince Fi
     B33-17 lagging
Forum Wh0r3s --- 22
     A06-01 ShempsKid
     A25-05 Jauris
     B08-11 Beaneater
     B21-01 russellverse
     B37-15 crochetmonster
     B37-16 DarkSideofOZ
     B39-22 AtomicSymphonic
     B45-13 MrEvil
     B46-13 Prax
     B46-14 `Ghost`
     B46-21 Dinkman72
     B46-22 TheWildcat
     B58-22 JuicyBeans
     C64-07 Zubi
     UAC-05 sirskippy
     UAC-06 Neg1
     UAC-07 BENTLEY
     UAC-08 Plight
     UAC-09 dp_
     UAC-11 FreAk
     UAC-17 Kigen
     UAC-19 Halestorm
JAWA --- 22
     C39-03 OnLuvMon
     C39-04 Fairchild
     C39-05 ArsenicBud
     C39-06 ZeroXAcid
     C39-07 mxcnDevl
     C39-08 Avarien
     C39-09 Tourke
     C39-10 Nermen
     C39-11 Bobo
     C39-12 BOHNZ
     C40-02 The_Muffin_Man
     C40-03 Splat
     C40-04 Caydenvon
     C40-05 Dawscon
